id,card_id,transaction_date,amount,transaction_type,description
1,1,2021-03-15 09:30:00,1500.50,Покупка,Оплата в супермаркете
2,1,2021-03-20 14:15:00,2500.00,Покупка,Оплата в ресторане
3,2,2020-05-10 11:20:00,500.00,Снятие наличных,Банкомат АкБарсБанк
4,3,2022-06-12 16:45:00,3200.75,Покупка,Онлайн-покупка
5,4,2019-08-25 10:10:00,10000.00,Перевод,Перевод другу
6,5,2023-03-01 13:25:00,750.30,Покупка,АЗС
7,6,2021-10-18 15:40:00,4500.00,Покупка,Бытовая техника
8,7,2020-12-05 12:15:00,200.00,Снятие наличных,Банкомат ВТБ
9,8,2022-09-30 17:30:00,1800.90,Покупка,Одежда
10,9,2018-05-22 09:45:00,5000.00,Перевод,Оплата услуг
11,10,2024-02-14 14:20:00,1200.00,Покупка,Цветы
12,11,2021-07-08 11:35:00,300.50,Покупка,Кофе
13,12,2020-11-12 16:50:00,6500.00,Покупка,Электроника
14,13,2023-04-05 10:05:00,150.00,Снятие наличных,Банкомат АкБарсБанк
15,14,2019-01-18 13:40:00,2800.25,Покупка,Мебель
16,15,2022-08-22 15:55:00,4200.00,Покупка,Путешествие
17,16,2021-05-30 12:30:00,900.75,Покупка,Аптека
18,17,2020-03-14 17:45:00,15000.00,Перевод,Ипотека
19,18,2023-10-09 09:10:00,350.00,Покупка,Книги
20,19,2024-07-25 14:35:00,1800.00,Покупка,Обувь
21,20,2022-02-28 11:20:00,250.50,Покупка,Продукты
22,21,2021-09-15 16:45:00,5200.00,Покупка,Смартфон
23,22,2020-06-08 10:00:00,100.00,Снятие наличных,Банкомат АкБарсБанк
24,23,2023-12-20 13:25:00,3800.75,Покупка,Ювелирные изделия
25,24,2019-07-03 15:40:00,7500.00,Перевод,Автокредит
26,25,2022-11-17 12:15:00,450.30,Покупка,Такси
27,26,2021-04-12 17:30:00,2200.00,Покупка,Спортивные товары
28,27,2020-01-25 09:45:00,150.00,Снятие наличных,Банкомат АкБарсБанк
29,28,2023-08-30 14:20:00,6800.50,Покупка,Компьютер
30,29,2024-05-14 11:35:00,320.00,Покупка,Канцтовары
31,30,2022-10-28 16:50:00,1900.25,Покупка,Билеты в кино
32,31,2021-02-11 10:05:00,5500.00,Покупка,Ремонт
33,32,2020-08-24 13:40:00,200.00,Снятие наличных,Банкомат АкБарсБанк
34,33,2023-05-19 15:55:00,2700.00,Покупка,Отель
35,34,2019-12-02 12:30:00,12000.00,Перевод,Образование
36,35,2022-07-16 17:45:00,480.75,Покупка,Фастфуд
37,36,2021-11-29 09:10:00,3100.00,Покупка,Мебель
38,37,2020-04-13 14:35:00,180.50,Покупка,Общественный транспорт
39,38,2023-01-26 11:20:00,5900.00,Покупка,Бытовая техника
40,39,2024-09-08 16:45:00,250.00,Снятие наличных,Банкомат АкБарсБанк
41,40,2022-03-23 10:00:00,4200.75,Покупка,Одежда
42,41,2021-06-06 13:25:00,8500.00,Перевод,Ремонт квартиры
43,42,2020-10-19 15:40:00,350.30,Покупка,Кофе
